iter	Passed	Remaining
1135	6816	53185
1136	6821	53174
1137	6827	53165
1138	6833	53159
1139	6838	53148
1140	6844	53138
1141	6849	53129
1142	6855	53119
1143	6860	53110
1144	6866	53102
1145	6872	53098
1146	6878	53089
1147	6883	53080
1148	6889	53072
1149	6895	53061
1150	6900	53054
1151	6906	53044
1152	6911	53034
1153	6917	53024
1154	6922	53014
1155	6928	53010
1156	6935	53010
1157	6942	53006
1158	6947	52999
1159	6954	53000
1160	6960	52994
1161	6966	52988
1162	6972	52976
1163	6977	52967
1164	6983	52962
1165	6989	52951
1166	6994	52941
1167	7000	52935
1168	7006	52929
1169	7012	52920
1170	7017	52910
1171	7022	52899
1172	7029	52895
1173	7034	52887
1174	7040	52877
1175	7046	52870
1176	7052	52863
1177	7058	52859
1178	7064	52852
1179	7070	52845
1180	7076	52842
1181	7082	52834
1182	7088	52829
1183	7094	52823
1184	7099	52814
1185	7105	52804
1186	7110	52795
1187	7116	52786
1188	7121	52775
1189	7127	52769
1190	7133	52758
1191	7139	52754
1192	7144	52744
1193	7151	52741
1194	7157	52736
1195	7162	52722
1196	7168	52722
1197	7174	52713
1198	7180	52704
1199	7186	52697
1200	7192	52691
1201	7198	52689
1202	7206	52694
1203	7213	52699
1204	7220	52701
1205	7227	52698
1206	7233	52695
1207	7238	52682
1208	7244	52677
1209	7250	52670
1210	7255	52660
1211	7261	52653
1212	7267	52647
1213	7273	52637
1214	7279	52635
1215	7286	52632
1216	7292	52631
1217	7298	52626
1218	7304	52621
1219	7311	52615
1220	7316	52606
1221	7322	52599
1222	7328	52591
1223	7333	52581
1224	7340	52579
1225	7346	52575
1226	7352	52567
1227	7357	52558
1228	7363	52548
1229	7368	52538
1230	7374	52530
1231	7379	52521
1232	7385	52516
1233	7391	52507
1234	7396	52495
1235	7403	52492
1236	7409	52486
1237	7414	52478
1238	7421	52476
1239	7427	52469
1240	7433	52462
1241	7439	52458
1242	7444	52450
1243	7450	52441
1244	7456	52435
1245	7462	52428
1246	7469	52428
1247	7475	52426
1248	7482	52427
1249	7490	52434
1250	7497	52436
1251	7504	52439
1252	7512	52442
1253	7519	52441
1254	7524	52434
1255	7531	52434
1256	7538	52434
1257	7544	52430
1258	7551	52430
1259	7561	52447
1260	7569	52457
1261	7577	52464
1262	7585	52475
1263	7592	52474
1264	7599	52473
1265	7605	52469
1266	7612	52466
1267	7618	52464
1268	7625	52462
1269	7631	52458
1270	7637	52450
1271	7643	52443
1272	7648	52435
1273	7654	52428
1274	7659	52415
1275	7665	52408
1276	7670	52399
1277	7676	52392
1278	7682	52382
1279	7688	52377
1280	7694	52373
1281	7700	52368
1282	7706	52361
1283	7712	52354
1284	7718	52349
1285	7724	52341
1286	7730	52338
1287	7736	52329
1288	7742	52325
1289	7748	52317
1290	7753	52307
1291	7759	52299
1292	7765	52290
1293	7770	52282
1294	7777	52278
1295	7782	52268
1296	7788	52260
1297	7793	52249
1298	7798	52239
1299	7805	52234
1300	7810	52226
1301	7817	52224
1302	7823	52216
1303	7829	52211
1304	7834	52201
1305	7840	52193
1306	7845	52184
1307	7851	52176
1308	7857	52168
1309	7863	52161
1310	7869	52156
1311	7875	52148
1312	7880	52141
1313	7886	52135
1314	7892	52128
1315	7898	52120
1316	7904	52112
1317	7909	52102
1318	7915	52092
1319	7921	52086
1320	7926	52079
1321	7932	52072
1322	7938	52068
1323	7944	52058
1324	7949	52049
1325	7956	52045
1326	7962	52038
1327	7967	52030
1328	7973	52022
1329	7979	52016
1330	7985	52008
1331	7990	51997
1332	7996	51991
1333	8001	51982
